ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes,NULL,easy,data/set4/a10
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Did Avogadro live in England?,No,easy,easy,data/set4/a8
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,medium,medium,data/set4/a8
Amedeo_Avogadro,How many children did Avogadro have?,six,medium,medium,data/set4/a8
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium,data/set4/a8
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,hard,hard,data/set4/a8
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853,hard,hard,data/set4/a8
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823,hard,hard,data/set4/a8
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,hard,hard,data/set4/a8
Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin,NULL,hard,data/set4/a8
Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,NULL,hard,data/set4/a8
Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,NULL,hard,data/set4/a8
Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo,NULL,hard,data/set4/a8
Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro,NULL,too easy,data/set4/a8
Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no,NULL,hard,data/set4/a8
Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,"In fact, was Avogadro `s  famous  1811  paper written in French . )",Yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,"Hence, can relative molecular  masses be calculated from the masses  of gas samples?",Yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,Did he publish his work?,Yes,NULL,hard,data/set4/a8
Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.,NULL,medium,data/set4/a8
Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number,NULL,medium,data/set4/a8
Amedeo_Avogadro,"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes,NULL,easy,data/set4/a8
Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,NULL,easy,data/set4/a8
Amedeo_Avogadro,What is Amedeo Avogadro?,A person.,NULL,hard,data/set4/a8
Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.,NULL,hard,data/set4/a8
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,easy,medium,data/set4/a5
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,easy,medium,data/set4/a5
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure,easy,hard,data/set4/a5
Anders_Celsius,Which temperature scale did Celsius propose?,Celcius,easy,medium,data/set4/a5
Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale ,easy,medium,data/set4/a5
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,medium,hard,data/set4/a5
Anders_Celsius,Where was Celsius born?,Uppsala in Sweden,medium,medium,data/set4/a5
Anders_Celsius,Where was Celsius born?,"Uppsala, Sweden",medium,medium,data/set4/a5
Anders_Celsius,"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,medium,medium,data/set4/a5
Anders_Celsius,How old was Celsius when he died?,42,hard,hard,data/set4/a5
Anders_Celsius,What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,hard,hard,data/set4/a5
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. ,hard,hard,data/set4/a5
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed ,hard,hard,data/set4/a5
Anders_Celsius,What was Anders Celsius`s profession?,professor of astronomy,NULL,medium,data/set4/a5
Anders_Celsius,How old was Anders Celsius when he died?,42,NULL,medium,data/set4/a5
Anders_Celsius,What is Anders Celsius`s last name?,Celsius,NULL,easy,data/set4/a5
Anders_Celsius,Was celsius born in Uppsala  in Sweden?,yes,NULL,easy,data/set4/a5
Anders_Celsius,Is The Celsius  crater  on the Moon named after him?,yes,NULL,easy,data/set4/a5
Anders_Celsius,"Was Anders Celsius  ( November 27 ,  1701  April 25 ,  1744  ) a Swedish  astronomer?",yes,NULL,easy,data/set4/a5
Anders_Celsius,Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes,NULL,easy,data/set4/a5
Anders_Celsius,Was he professor at Uppsala University?,yes,NULL,easy,data/set4/a5
Anders_Celsius,Is it true that he published a collection of 316 observations?,yes,NULL,easy,data/set4/a5
Anders_Celsius,He published a collection of what?,observations,NULL,medium,data/set4/a5
Arabic_language,Can syllables begin with a vowel?,no,NULL,easy,data/set5/a3
Arabic_language,Are calligraphers held in great esteem?,Yes,NULL,easy,data/set5/a3
Arabic_language,Have many European languages borrowed numerous words from it?,yes,NULL,easy,data/set5/a3
Arabic_language,Are the most active in Damascus and Cairo?,(bad question),NULL,,data/set5/a3
Arabic_language,Do arabs consider literary Arabic?,(bad question),NULL,,data/set5/a3
Arabic_language,The sociolinguistic situation of Arabic provides a prime example of what?,the linguistic phenomenon of diglossia,NULL,medium,data/set5/a3
Arabic_language,"Are pronouns in Literary Arabic marked for person , number and gender ?",yes,NULL,easy,data/set5/a3
Arabic_language,"However , are non-human plural nouns grammatically considered to be feminine singular ?",yes,NULL,easy,data/set5/a3
Bee,Is a bee an insect?,yes,easy,easy,data/set1/a8
Bee,Are bees related to ants?,yes,easy,hard,data/set1/a8
Bee,Have managed populations of European honey bees experienced substantial declines?,yes,easy,easy,data/set1/a8
Bee,Where do bees live?,in colonies,medium,medium,data/set1/a8
Bee,When do bumblebee colonies reach peak population?,mid to late summer,medium,medium,data/set1/a8
Bee,What do people commonly call cleptoparasitic bees?,cuckoo bees,medium,medium,data/set1/a8
Bee,How did vespoid wasps evolve?,from predatory ancestors,hard,medium,data/set1/a8
Bee,What do humans use bees for?,honey,hard,hard,data/set1/a8
Bee,Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,hard,hard,data/set1/a8
Beijing,"Does Beijing mean ""northern capital""?",yes,easy,easy,data/set3/a7
Beijing,Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District?,yes,easy,easy,data/set3/a7
Beijing,Are hutongs disappearing?,yes,easy,easy,data/set3/a7
Beijing,When did Beijing host the Olympic Games?,2008,medium,medium,data/set3/a7
Beijing,When was the An Shi Rebellion launched?,in 755 AD,medium,medium,data/set3/a7
Beijing,"In 1949, where did Communist forces enter without a fight?",Beiping,medium,medium,data/set3/a7
Beijing,When did Yuan Shikai die?,1916,hard,too hard,data/set3/a7
Beijing,Where does air pollution in Beijing come from?,surrounding cities and provinces,hard,medium,data/set3/a7
Beijing,"As of August 1st, 2006, how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station?",167,hard,medium,data/set3/a7
Beijing,What is the name of a university (or similar institution for imparting higher education) in Beijing?,Tsinghua University,NULL,hard,data/set3/a7
Beijing,Are famous middle  schools  in Beijing :?,Yes,NULL,easy,data/set3/a7
Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,easy,easy,data/set4/a4
Blaise_Pascal,Could Blaise Pascal move without crutches?,He could move without crutches until a paralytic attack in 1647.,easy,hard,data/set4/a4
Blaise_Pascal,Could Blaise Pascal move without crutches?,no,easy,hard,data/set4/a4
Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,easy,easy,data/set4/a4
Blaise_Pascal,From what did Pascal suffer throughout his life?,ill health,medium,medium,data/set4/a4
Blaise_Pascal,From what did Pascal suffer throughout his life?,poor health,medium,medium,data/set4/a4
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry ,medium,medium,data/set4/a4
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry,medium,medium,data/set4/a4
Blaise_Pascal,What is the best physician?,Time,medium,medium,data/set4/a4
Blaise_Pascal,Who was the eldest sibling?,Gilberte,hard,hard,data/set4/a4
Blaise_Pascal,"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,hard,easy,data/set4/a4
Blaise_Pascal,Of whose continual poor health was the cause never precisely determined?,Blaise Pascal,hard,hard,data/set4/a4
Cello,Is the violin cello a bowed string instrument?,Yes,easy,easy,data/set2/a9
Cello,Is the purfling just for decoration?,No,easy,easy,data/set2/a9
Cello,Are the z-holes used as access points to the interior of the cello? ,No,easy,easy,data/set2/a9
Cello,What does violincello mean?,"Violincello means ""little violene"".",medium,medium,data/set2/a9
Cello,What are the two materials that bows are made of traditionally? ,"Traditionally, bows are made from pernambuco or brazilwood.",medium,medium,data/set2/a9
Cello,What is used to tune a cello?,Pegs are used to tune a cello.,medium,medium,data/set2/a9
Cello,What is used to tune a cello?,the pegs,medium,medium,data/set2/a9
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics can produce any notes above middle C.,hard,hard,data/set2/a9
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics,hard,medium,data/set2/a9
Cello,"Who referred to the cello as ìbasso de viola da braccio""?","Monteverdi referred to the cello as ""basso de viola da braccio"".",hard,medium,data/set2/a9
Cello,"Who referred to the cello as ìbasso de viola da braccio""?",Monteverdi,hard,medium,data/set2/a9
Cello,Where is the violincello held?,The violincello is held on the shoulder.,hard,hard,data/set2/a9
Cello,Where is the violincello held?,on the shoulder,hard,medium,data/set2/a9
Cello,Is there cello in performances by Rihanna?,yes,easy,easy,data/set2/a9
Cello,Are cellos constructed with glue?,yes,easy,easy,data/set2/a9
Cello,Is the cello a stringed instrument?,yes,easy,easy,data/set2/a9
Cello,What is cello an abbreviation of?,violoncello,medium,medium,data/set2/a9
Cello,What position is used to play the cello?,a gamba,medium,hard,data/set2/a9
Cello,What position is used to play the cello?,seated,medium,medium,data/set2/a9
Cello,What is a person who plays the cello called?,cellist,medium,medium,data/set2/a9
Cello,Why is there purling on a cello?,to stop cracks from forming ****misspelled****,hard,hard,data/set2/a9
Cello,When did the first educational works appear for the cello?,the 18th century,hard,hard,data/set2/a9
Cello,When did the first educational works appear for the cello?,18th century,hard,hard,data/set2/a9
Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,hard,hard,data/set2/a9
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,easy,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,easy,hard,data/set4/a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,easy,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,"Paris, France",medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Yes,medium,easy,data/set4/a6
Charles-Augustin_de_Coulomb,What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,hard,hard,data/set4/a6
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,Martinique ,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's law is the definition of the electrostatic force of attraction and repulsion.,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's Law,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,Charles-Augustin de Coulomb retired to a small estate he possessed at Blois on the outbreak of the revolution in 1789.,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb retire to a small estate he possessed at Blois?,1789,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,"If Charles-Augustin de Coulomb was alive today, how old would he have been?",273,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,For how many years did Charles-Augustin de Coulomb live?,70,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb live to be 80 years old?,no,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,How old was Charles-Augustin de Coulomb when he died?,1806,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,How many years ago did he resign his appointment as intendant de eaux et fontaine ?,220,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,How many years ago did Charles-Augustin de Coulomb die?,203,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,"Was The SI  unit  of charge , the  coulomb , named after him?",yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,"Was coulomb born in Angoul√™me,  France ,  to a well  to do  family?",yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,"Was his father ,  Henri  Coulomb , inspector of the Royal  Fields  in Montpellier?",Yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?,yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,"Was Charles Augustin  de Coulomb  ( born  June  14 ,  1736 ,  Angoul√™me ,  France  -  died August 23 ,  1806 ,  Paris ,  France  ) a French  physicist?",yes,NULL,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Does Coulomb leave a legacy?,yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb born?,"June 14, 1736",NULL,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Did he publish an important investigation of the laws of friction?,yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,"Was Coulomb born in Angoul√™me, France, to a well to do family?",yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Was his father inspector of the Royal Fields?,yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,He discovered an inverse relationship of what?,distance and electric force,NULL,hard,data/set4/a6
Charles-Augustin_de_Coulomb,Is it true that coulomb leaves a legacy as a hero?,yes,NULL,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Where is Charles-Augustin de Coulomb from?,France,NULL,medium,data/set4/a6
Chinese_language,Was Old Chinese wholly uninflected?,no,NULL,easy,data/set5/a7
Chinese_language,Are The modern Chinese dialects more like a family?,yes,NULL,easy,data/set5/a7
Chinese_language,Is it true that one-fifth of world population speak some form of Chinese?,yes,NULL,easy,data/set5/a7
Chinese_language,One-fifth of world population speak some form of what?,Chinese,NULL,medium,data/set5/a7
Chinese_language,Is mandarin spoken Chinese distinguished by its high level?,"no, it's distinguished by diversity",NULL,easy,data/set5/a7
Copenhagen,Copenhagen is the capital of what country?,Denmark,easy,easy,data/set3/a8
Copenhagen,What is the population of Copenhagen?,"1,161,063",easy,medium,data/set3/a8
Copenhagen,What is the population of Copenhagen?,"1,153,615",easy,hard,data/set3/a8
Copenhagen,What transnational bridge was completed in 2000?,Oresund Bridge,easy,medium,data/set3/a8
Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure,medium,hard,data/set3/a8
Copenhagen,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre,medium,hard,data/set3/a8
Copenhagen,What happened to Copenhagen between 1251 and 1255?,a bunch of things,medium,too hard,data/set3/a8
Copenhagen,Is Copenhagen completely surrounded with water? ,No,medium,hard,data/set3/a8
Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City in the World, ",hard,too hard,data/set3/a8
Copenhagen,Copenhagen is ranked number one worldwide for which things?,"Most Livable City, Location Ranking Survey",hard,too hard,data/set3/a8
Copenhagen,Why did German troops occupy Copenhagen?,Because it was WW2,hard,too hard,data/set3/a8
Cymbal,Have cymbals been used historically to suggest bacchanal?,Yes,easy,easy,data/set2/a6
Cymbal,Can the origins of cymbals be traced to prehistoric times?,Yes,easy,easy,data/set2/a6
Cymbal,Are cymbals used in moden orchestras?,Yes,easy,easy,data/set2/a6
Cymbal,What are the most common Cymbals?," The most common Cymbals are the Hi-Hats, Crash, Splash, Ride, and China.",medium,medium,data/set2/a6
Cymbal,What are the most common Cymbals?,"Hi-Hats, Crash, Splash, Ride, and China",medium,easy,data/set2/a6
Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal is the second main orchestral use of symbals.,medium,medium,data/set2/a6
Cymbal,What is the second main orchestral use of cymbals?,The suspended cymbal,medium,easy,data/set2/a6
Cymbal,What have clash cymbals traditionally been accompanied by?,Clash cymbals have traditionally been accompanied by the bass drum playing an identical part.,medium,medium,data/set2/a6
Cymbal,What have clash cymbals traditionally been accompanied by?,The bass drum playing an identical part,medium,easy,data/set2/a6
Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the symbal.,hard,hard,data/set2/a6
Cymbal,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the cymbal,hard,hard,data/set2/a6
Cymbal,What is an effective way to accentuate a note?,Playing a bass drum playing an identical part is an effective way to accentuate a note.,hard,hard,data/set2/a6
Cymbal,What is an effective way to accentuate a note?,"The combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly",hard,hard,data/set2/a6
Cymbal,From what type of Cymbals can a expert player obtain an enormous dynamic range?,An expert player can obtain an enormous dynamic range from crash cymbals.,hard,hard,data/set2/a6
Cymbal,From what type of Cymbals can a expert player obtain an enormous dynamic range?,Crash cymbals,hard,hard,data/set2/a6
Cymbal,Can the origins of cymbals be traced back to prehistoric times?,yes,easy,easy,data/set2/a6
Cymbal,Did the modern hi-hat evolve from clash cymbals?,yes,easy,easy,data/set2/a6
Cymbal,Is the word cymbal derived from a Germanic word?,No,easy,easy,data/set2/a6
Cymbal,What is the center of a cymbal called?,Bell,medium,medium,data/set2/a6
Cymbal,"What part of the cymbal gets the best ""crash""?",Edge or rim,medium,medium,data/set2/a6
Cymbal,What two instruments form the modern drum kit?,the cymbals and the drum,hard,hard,data/set2/a6
Cymbal,What Greek mythical creatures were depicted holding cymbals?,fauns and satyrs,hard,too hard,data/set2/a6
Cymbal,What are orchestral crash cymbals technically called?,a pair of clash cymbals,hard,hard,data/set2/a6
Cymbal,What are orchestral crash cymbals technically called?,clash cymbals,hard,hard,data/set2/a6
Dhaka,Is Dhaka the capital of Bangladesh?,Yes,easy,easy,data/set3/a3
Dhaka,Is Dhaka located on the eastern banks of the Buriganga River?,Yes,easy,medium,data/set3/a3
Dhaka,Is University of Dhaka the largest public university in Dhaka?,Yes,easy,hard,data/set3/a3
Dhaka,How much area does Dhaka cover?,1462.60 square kilometers,medium,medium,data/set3/a3
Dhaka,How many people did the 1970 Bhola cyclone kill?,"500,000",medium,medium,data/set3/a3
Dhaka,When is the end of the independence war of Bangladesh?,16-Dec-71,medium,hard,data/set3/a3
Dhaka,Did the Mughals arrive in Dhaka?,Yes,hard,medium,data/set3/a3
Dhaka,Is University of Dhaka older than the Dhaka College?,No,hard,hard,data/set3/a3
English_language,What is given for the number of native speakers?,No figure is given for the number of native speakers.,NULL,hard,data/set5/a1
English_language,Is english an intonation  language?,Yes,NULL,easy,data/set5/a1
English_language,Is english a de  jure  official  language  of Israel?,no,NULL,easy,data/set5/a1
English_language,Is the stressed  syllable called the nuclear  syllable?,yes,NULL,easy,data/set5/a1
English_language,Does english grammar have minimal inflection?,Yes,NULL,easy,data/set5/a1
English_language,Did old English develop into Middle English?,Yes,NULL,easy,data/set5/a1
English_language,"Are books, magazines, and newspapers written in English available?",yes,NULL,easy,data/set5/a1
English_language,Is the syntax of German different with different rules?,yes,NULL,easy,data/set5/a1
English_language,Is it true that semantics causes a number of false friends?,TRUE,NULL,easy,data/set5/a1
English_language,"Here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?",yes,NULL,easy,data/set5/a1
English_language,"Are many words describing the navy , types of ships , and other objects or activities on the water of dutch origin ?",yes,NULL,easy,data/set5/a1
English_language,"Are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between British and American English ?",yes,NULL,easy,data/set5/a1
Flute,Is the flute a musical instrument?,Yes.,easy,easy,data/set2/a5
Flute,Is the flute a musical instrument?,Yes,easy,easy,data/set2/a5
Flute,Is it possible to open flutes at one or both ends?,Yes.,easy,easy,data/set2/a5
Flute,Is it possible to open flutes at one or both ends?,Yes,easy,easy,data/set2/a5
Flute,Are Indian concert flutes available in standard pitches?,Yes.,easy,easy,data/set2/a5
Flute,Are Indian concert flutes available in standard pitches?,Yes,easy,easy,data/set2/a5
Flute,What do we refer musicians who play flute?,"A flute player, a flautist or a flutist. ",medium,medium,data/set2/a5
Flute,What do we refer musicians who play flute?,"A flute player, a flautist, or a flutist",medium,medium,data/set2/a5
Flute,When was a three-holed flute made from a mammoth tusk discovered?,2004,medium,medium,data/set2/a5
Flute,When was a three-holed flute made from a mammoth tusk discovered?,In 2004,medium,medium,data/set2/a5
Flute,When did the tin whistle first appear?,12th century.,medium,medium,data/set2/a5
Flute,When did the tin whistle first appear?,In the 12th century,medium,medium,data/set2/a5
Flute,What are the oldest known musical instruments?,A three holed-flute made from a mammoth tusk and two flutes made from swan's bones.,hard,medium,data/set2/a5
Flute,What are the oldest known musical instruments?,A three-holed flute made from a mammoth tusk and two flutes made from swans' bones are among the oldest known musical instruments,hard,hard,data/set2/a5
Flute,When was the pan flute spread to other parts of Europe?,7th century BC.,hard,hard,data/set2/a5
Flute,When was the pan flute spread to other parts of Europe?,After the 7th century BC,hard,hard,data/set2/a5
Flute,What does the air stream across this hole create?,"A Bernoulli, or siphon.",hard,medium,data/set2/a5
Fox,Are foxes wary of humans?,Yes,easy,easy,data/set1/a6
Fox,Are fennec foxes endangered?,no,easy,easy,data/set1/a6
Fox,Does the diet of foxes include reptiles?,yes,easy,easy,data/set1/a6
Fox,How long do most foxes live?,"Most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity.",medium,medium,data/set1/a6
Fox,How long do most foxes live?,2 to 3 years,medium,medium,data/set1/a6
Fox,In what country did fox hunting originate?,the United Kingdom,medium,medium,data/set1/a6
Fox,In what country did fox hunting originate?,in the United Kingdom,medium,medium,data/set1/a6
Fox,What is the smallest species of fox?,The Fennec Fox is the smallest species of fox. ,medium,medium,data/set1/a6
Fox,What is the smallest species of fox?,the Fennec Fox,medium,medium,data/set1/a6
Fox,What are female foxes called?,vixens,hard,medium,data/set1/a6
Fox,What is caching food?,"Caching is burying it for later consumption, usually under leaves, snow, or soil.",hard,hard,data/set1/a6
Fox,What is caching food?,burying it for later consumption,hard,hard,data/set1/a6
Fox,Do foxes damage fruit on farms?,No,hard,hard,data/set1/a6
French_language,How many years ago did African people spread across 31 francophone African countries can speak French either as a first or second language?,2 years ago,NULL,hard,data/set5/a5
French_language,"In Old French, was the plural  for animal animals?",Yes,NULL,easy,data/set5/a5
French_language,Is catalan the only  official  language  of Andorra?,Yes,NULL,easy,data/set5/a5
French_language,"In Belgium, however, is quatre-vingts universally used?",Yes,NULL,easy,data/set5/a5
French_language,Is french taught in many schools as a primary language along with Arabic?,Yes,NULL,easy,data/set5/a5
French_language,"What is widely used by the Lebanese, especially for administrative purposes?",French,NULL,medium,data/set5/a5
French_language,Is french descendant of the Latin language?,Yes,NULL,easy,data/set5/a5
French_language,Are there also a variety of regional languages In addition?,Yes,NULL,medium,data/set5/a5
French_language,Is it true that france signed the European Charter for Regional Languages?,Yes,NULL,easy,data/set5/a5
French_language,Are the prefixes en- and em- always nasalized ?,Yes,NULL,easy,data/set5/a5
German_language,How many years ago was the Luther Bible by Martin Luther printed?,475,NULL,hard,data/set5/a2
German_language,Is german an inflected  language?,yes,NULL,easy,data/set5/a2
German_language,"In Switzerland, is √ü used at all?",no,NULL,easy,data/set5/a2
German_language,Are there two common  word  orders?,yes,NULL,easy,data/set5/a2
